Model,Stage,RMSE_mean,RMSE_lo,RMSE_hi,MAE_mean,R2_mean,Pearson_r_mean,95% CI
ElasticNet,FS+Tuned,5.073555479701701,3.8787418812497365,6.383540743059394,3.696813419771236,0.8680088037968164,0.9335813498048886,"[3.879, 6.384]"
SVR,FS+Tuned,5.305647967656445,4.253473309859329,6.265215858993449,3.9361878167620388,0.8566270314063735,0.9296345098880381,"[4.253, 6.265]"
BayesianRidge,FS+Tuned,5.116292882564692,3.9879983308084426,6.325468791599515,3.7526116880967173,0.8660287401167497,0.9330561283539487,"[3.988, 6.325]"
