Model,RMSE (95% CI),MAE (95% CI),R² (95% CI),Pearson r (95% CI)
OLS,"5.173 [4.247, 6.052]","3.905 [3.239, 4.598]","0.873 [0.814, 0.919]","0.936 [0.904, 0.960]"
ElasticNet,"5.313 [4.509, 6.171]","4.086 [3.448, 4.791]","0.867 [0.815, 0.908]","0.945 [0.918, 0.966]"
SVR,"8.671 [7.363, 9.953]","6.731 [5.700, 7.785]","0.650 [0.590, 0.705]","0.869 [0.818, 0.908]"
BayesianRidge,"4.846 [3.925, 5.705]","3.589 [2.965, 4.241]","0.889 [0.837, 0.930]","0.945 [0.918, 0.967]"
