Method,N Features,RMSE (Mean),RMSE 95% CI,R² (Mean),R² 95% CI
Stability Selection,188,5.26,"[4.354, 6.179]",0.869,"[0.812, 0.914]"
mRMR Selection,150,5.199,"[4.475, 5.928]",0.873,"[0.824, 0.911]"
